"periodo";"nivel_general_aperturas";"indice_icc"
"2022-01-01";"1_50v1513970_d3_713rr@$";100
"2022-01-01";"2_3$7ruc7ur@";100
"2022-01-01";"3_@|8@91|3r1@";100
"2022-01-01";"4_y3$3r1@";100
"2022-01-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";100
"2022-01-01";"6_19$7@|@c109_d3_g@$";100
"2022-01-01";"7_19$7@|@c109_3|3c7r1c@";100
"2022-01-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";100
"2022-01-01";"9_c@rp1973r1@_d3_5@d3r@";100
"2022-01-01";"10_@$c39$0r3$";100
"2022-01-01";"11_v1dr10$";100
"2022-01-01";"12_p197ur@";100
"2022-01-01";"13_07r0$_7r@8@j0$_y_g@$70$";100
"2022-02-01";"1_50v1513970_d3_713rr@$";103.812933254688
"2022-02-01";"2_3$7ruc7ur@";104.410773484463
"2022-02-01";"3_@|8@91|3r1@";103.927129746759
"2022-02-01";"4_y3$3r1@";104.401086250664
"2022-02-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";103.745420563839
"2022-02-01";"6_19$7@|@c109_d3_g@$";101.542653418102
"2022-02-01";"7_19$7@|@c109_3|3c7r1c@";103.949007322413
"2022-02-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";105.61061404405
"2022-02-01";"9_c@rp1973r1@_d3_5@d3r@";104.348301581399
"2022-02-01";"10_@$c39$0r3$";100.573196712996
"2022-02-01";"11_v1dr10$";102.077324810975
"2022-02-01";"12_p197ur@";101.735606808807
"2022-02-01";"13_07r0$_7r@8@j0$_y_g@$70$";103.472367445486
"2022-03-01";"1_50v1513970_d3_713rr@$";105.983075692185
"2022-03-01";"2_3$7ruc7ur@";109.511396618843
"2022-03-01";"3_@|8@91|3r1@";109.514064023334
"2022-03-01";"4_y3$3r1@";109.920892614676
"2022-03-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";108.375716376808
"2022-03-01";"6_19$7@|@c109_d3_g@$";107.360815518714
"2022-03-01";"7_19$7@|@c109_3|3c7r1c@";109.003925417076
"2022-03-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";107.490549238831
"2022-03-01";"9_c@rp1973r1@_d3_5@d3r@";109.423871913209
"2022-03-01";"10_@$c39$0r3$";103.236278786649
"2022-03-01";"11_v1dr10$";108.048172110063
"2022-03-01";"12_p197ur@";106.142159995352
"2022-03-01";"13_07r0$_7r@8@j0$_y_g@$70$";110.412349575103
"2022-04-01";"1_50v1513970_d3_713rr@$";109.294937307645
"2022-04-01";"2_3$7ruc7ur@";112.213708956353
"2022-04-01";"3_@|8@91|3r1@";110.331880332928
"2022-04-01";"4_y3$3r1@";111.724422929335
"2022-04-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";112.976240686068
"2022-04-01";"6_19$7@|@c109_d3_g@$";113.027152326858
"2022-04-01";"7_19$7@|@c109_3|3c7r1c@";111.585642032158
"2022-04-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";114.817625852028
"2022-04-01";"9_c@rp1973r1@_d3_5@d3r@";115.61823311971
"2022-04-01";"10_@$c39$0r3$";108.985999797099
"2022-04-01";"11_v1dr10$";112.447384831242
"2022-04-01";"12_p197ur@";108.528437808633
"2022-04-01";"13_07r0$_7r@8@j0$_y_g@$70$";112.296344175966
"2022-05-01";"1_50v1513970_d3_713rr@$";116.207156330847
"2022-05-01";"2_3$7ruc7ur@";120.593009340138
"2022-05-01";"3_@|8@91|3r1@";118.783991749321
"2022-05-01";"4_y3$3r1@";120.331778735463
"2022-05-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";118.309474781055
"2022-05-01";"6_19$7@|@c109_d3_g@$";118.418305792406
"2022-05-01";"7_19$7@|@c109_3|3c7r1c@";119.241148939382
"2022-05-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";117.815597039978
"2022-05-01";"9_c@rp1973r1@_d3_5@d3r@";122.011636300007
"2022-05-01";"10_@$c39$0r3$";113.586791112915
"2022-05-01";"11_v1dr10$";114.559786421389
"2022-05-01";"12_p197ur@";113.938592923953
"2022-05-01";"13_07r0$_7r@8@j0$_y_g@$70$";119.30856827817
"2022-06-01";"1_50v1513970_d3_713rr@$";123.694614939877
"2022-06-01";"2_3$7ruc7ur@";129.332021954138
"2022-06-01";"3_@|8@91|3r1@";127.685700703403
"2022-06-01";"4_y3$3r1@";130.488812798867
"2022-06-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";124.456463310757
"2022-06-01";"6_19$7@|@c109_d3_g@$";123.604766229717
"2022-06-01";"7_19$7@|@c109_3|3c7r1c@";126.755114365517
"2022-06-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";122.189949352678
"2022-06-01";"9_c@rp1973r1@_d3_5@d3r@";129.424309368096
"2022-06-01";"10_@$c39$0r3$";118.704981231612
"2022-06-01";"11_v1dr10$";121.086990412347
"2022-06-01";"12_p197ur@";117.467902166967
"2022-06-01";"13_07r0$_7r@8@j0$_y_g@$70$";127.482367255375
"2022-07-01";"1_50v1513970_d3_713rr@$";129.563226714477
"2022-07-01";"2_3$7ruc7ur@";135.175454282845
"2022-07-01";"3_@|8@91|3r1@";131.557235055716
"2022-07-01";"4_y3$3r1@";137.437274927682
"2022-07-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";143.25303297194
"2022-07-01";"6_19$7@|@c109_d3_g@$";140.967072889696
"2022-07-01";"7_19$7@|@c109_3|3c7r1c@";136.486562995395
"2022-07-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";141.605242800636
"2022-07-01";"9_c@rp1973r1@_d3_5@d3r@";147.838972855924
"2022-07-01";"10_@$c39$0r3$";130.503702952217
"2022-07-01";"11_v1dr10$";141.256138436355
"2022-07-01";"12_p197ur@";135.676523557776
"2022-07-01";"13_07r0$_7r@8@j0$_y_g@$70$";132.804509419973
"2022-08-01";"1_50v1513970_d3_713rr@$";137.878212727687
"2022-08-01";"2_3$7ruc7ur@";144.802398998583
"2022-08-01";"3_@|8@91|3r1@";140.480698729363
"2022-08-01";"4_y3$3r1@";147.346360469921
"2022-08-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";157.172037942127
"2022-08-01";"6_19$7@|@c109_d3_g@$";153.950846561564
"2022-08-01";"7_19$7@|@c109_3|3c7r1c@";148.531743036159
"2022-08-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";162.62461138762
"2022-08-01";"9_c@rp1973r1@_d3_5@d3r@";160.089896979374
"2022-08-01";"10_@$c39$0r3$";144.473470630009
"2022-08-01";"11_v1dr10$";153.931522332216
"2022-08-01";"12_p197ur@";143.12147795271
"2022-08-01";"13_07r0$_7r@8@j0$_y_g@$70$";139.938404212848
"2022-09-01";"1_50v1513970_d3_713rr@$";145.316031372457
"2022-09-01";"2_3$7ruc7ur@";156.094474324938
"2022-09-01";"3_@|8@91|3r1@";152.930844163692
"2022-09-01";"4_y3$3r1@";160.599799279769
"2022-09-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";169.502402394952
"2022-09-01";"6_19$7@|@c109_d3_g@$";162.596754734374
"2022-09-01";"7_19$7@|@c109_3|3c7r1c@";157.263908809542
"2022-09-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";164.707427787427
"2022-09-01";"9_c@rp1973r1@_d3_5@d3r@";168.450753516044
"2022-09-01";"10_@$c39$0r3$";149.632241046972
"2022-09-01";"11_v1dr10$";164.401940915114
"2022-09-01";"12_p197ur@";148.242607331668
"2022-09-01";"13_07r0$_7r@8@j0$_y_g@$70$";151.823159255527
"2022-10-01";"1_50v1513970_d3_713rr@$";157.655358488142
"2022-10-01";"2_3$7ruc7ur@";167.99799166403
"2022-10-01";"3_@|8@91|3r1@";164.825841383923
"2022-10-01";"4_y3$3r1@";173.209752641832
"2022-10-01";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";179.898446092904
"2022-10-01";"6_19$7@|@c109_d3_g@$";167.997397280701
"2022-10-01";"7_19$7@|@c109_3|3c7r1c@";170.018683475504
"2022-10-01";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";175.912600528367
